date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-05-14,38404.05088450387,0.0,38404.05088450387,37434.60087928689,38122.24999008759,53014.14878333333,-687.649110800703,281.80089441627933,春季,False
2025-05-15,37818.28330143471,8.117861938217176e-14,37818.28330143471,37285.074129826375,38089.44496733223,52765.05828333333,-804.3708375058559,-271.1616658975181,春季,False
2025-05-16,15521.753965385806,3.5376501728023866e-13,15521.753965385806,15220.52163411996,14667.478379588145,2715.5065333333323,553.0432545318145,854.2755857976608,春季,False
2025-05-17,14851.829130255192,509.2824009339368,15361.111531189128,16631.023720037818,15095.237729157265,10448.799083333332,1535.785990880553,265.8738020318633,春季,False
2025-05-18,38989.693889200105,10.223537916667851,38999.91742711677,38417.03852762942,38003.89166252648,53676.1681,413.1468651029354,996.0257645902893,春季,False
2025-05-19,35516.714126727784,286.19442687500145,35802.908553602785,35218.403256982776,36656.54429112306,47515.21655,-1438.1410341402807,-853.6357375202715,春季,False
2025-05-20,33426.1357712411,20768.96368587801,54195.09945711911,45525.397403341136,37727.254396663,54527.39481666666,7798.1430066781395,16467.845060456115,春季,False
2025-05-21,33402.595166297935,7079.176218057987,40481.771384355925,48268.47526096871,37484.07627655965,51362.61528333333,10784.398984409061,2997.695107796273,春季,False
2025-05-22,35677.69881434381,7.617018127348274e-13,35677.69881434381,34947.449418825025,35827.52440769768,50816.63081666666,-880.0749888726568,-149.82559335387486,春季,False
2025-05-23,14813.73892508464,8.687095487402984e-14,14813.73892508464,15244.671208996626,15766.186532797912,6420.948883333333,-521.5153238012863,-952.4476077132713,春季,False
2025-05-24,14872.248296226337,2.0376706314987545,14874.285966857831,14895.253721826555,14555.677751581045,3754.501383333333,339.5759702455107,318.6082152767867,春季,False
2025-05-25,34313.7943625343,1455.6933218081851,35769.487684342486,35339.31271810561,36100.02975308774,48545.01018333333,-760.7170349821317,-330.542068745257,春季,False
